Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12
Galadion,갈라디온 만,Galadion Goby,갈라디온 망둥이,4 - 8,4 - 8,4 - 8,6 - 12,,,,,,,Ragworm,바위털갯지렁이,10,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Rain,비,Showers,폭우,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,T!Galadion Chovy,갈라디온 멸치,6 - 11,6 - 11,6 - 11,8 - 14,,,,,,,Krill,크릴,11,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Rain,비,Showers,폭우,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Leopard Eel,범무늬장어,9 - 17,9 - 17,9 - 17,12 - 19,,,,,,,Plump Worm,굵은지렁이,14,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,No,No,Yes,Rain,비,Showers,폭우,,,,1,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Jasperhead,벽옥머리,15 - 24,10 - 19,15 - 24,15 - 25,,,,,,,Krill,크릴,40,2,3,!!,Powerful,강력한 낚아채기,Yes,No,No,Yes,Yes,Yes,Rain,비,Showers,폭우,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Tarnished Shark,변색상어,20 - 37,20 - 37,15 - 32,20 - 37,,,,,,,Plump Worm,굵은지렁이,34,2,3,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,No,Yes,Rain,비,Showers,폭우,,,,2,S,Shark,상어,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Rosy Bream,장미도미,12 - 18 ,7 - 13,12 - 18,12 - 18,,,,,,,Krill,크릴,34,3 - 4,5 - 7,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Rain,비,Showers,폭우,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Cyan Octopus,푸른문어,17 - 28,17 - 28,17 - 28,17 - 28,,,,,,,Krill,크릴,59,4,7,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Rain,비,Showers,폭우,,,,3,,Octopus,문어,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Heavenswimmer,천상어,15 - 25,15 - 25,15 - 25,16 - 25,,,,,,,Ragworm,바위털갯지렁이,50,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Rain,비,Showers,폭우,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Spectral Megalodon,유령 메갈로돈,20 - 37,20 - 37,20 - 37,21 - 37,,,,,,,Krill,크릴,100,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,No,Rain,비,Showers,폭우,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,I!Drunkfish,만취어,,15 - 28,,,,,,,,,Krill,크릴,253,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Rain,비,Showers,폭우,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Galadion Chovy.png"" alt=""Galadion Chovy"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Galadion Chovy"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
