Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherSpecial3,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,WeatherSpecial3Type,WeatherSpecial3TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9
Sirensong,세이렌 해,Deepshade Sardine,그늘정어리,5 - 9,5 - 9,5 - 9,8 - 12,,,,,,,Plump Worm,굵은지렁이,15,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,No,No,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,1,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Sirensong Mussel,세이렌 홍합,4 - 7,4 - 7,4 - 7,8 - 11,,,,,,,Ragworm,바위털갯지렁이,11,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,1,M,Shellfish,조개,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Arrowhead,화살머리 오징어,9.5 - 18,9.5 - 18,9.5 - 18,12 - 22,,,,,,,Krill,크릴,10,3,5,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,1,Q,Squid,오징어,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Pink Shrimp,분홍새우,13 - 20,8 - 15,13 - 20,13 - 20,,,,,,,Krill,크릴,31,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,2,H,Shrimp,새우,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Sirensong Mullet,노래숭어,10 - 14,5 - 9,10 - 14,10 - 14,,,,,,,Krill,크릴,42,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,No,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Selkie Puffer,셀키복어,11 - 20,15 - 25,15 - 25,15 - 24,,,,,,,Ragworm,바위털갯지렁이,38,4,7,!,Precision,섬세한 낚아채기,Yes,No,No,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,T!Poet's Pipe,시인의 오카리나,17 - 29,18 - 30,18 - 30,18 - 30,,,,,,,Ragworm,바위털갯지렁이,56,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Marine Matanga,바다 마탕가,17 - 27,17 - 27,16 - 26,17 - 27,,,,,,,Plump Worm,굵은지렁이,47,2,3,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,3,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Spectral Coelacanth,유령 실러캔스,15 - 25,15 - 25,15 - 25,15 - 25,,,,,,,Plump Worm,굵은지렁이,100,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,No,Rain,비,Thunderstorms,뇌우,,,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,I!Dusk Shark,어스름상어,,,12 - 23,,,,,,,,Plump Worm,굵은지렁이,263,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,4,,,,"(60s) x2 <img class=""iconMini"" src=""../img/fish/Poet_s Pipe.png"" alt=""Poet's Pipe"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Poet's Pipe"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
